"id","taxonID","acceptedNameUsageID","scientificName","acceptedNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonomicStatus","taxonRemarks","modified","language","license","rightsHolder","accessRights","datasetName","vernaculaNameEN","vernaculaNameFR","localities","Bryoquel_version"
529,529,529,"Fissidens osmundoides","Fissidens osmundoides Hedw.",,,,"|Musci|||Fissidentaceae|Fissidens|osmundoides|",,"Musci",,,"Fissidentaceae","Fissidens","osmundoides","","Espèce","Hedw.","Accepté","","2014-12-02",,,,,,"purple-stalked pocket moss","fissident fausse-osmonde","Québec, Labrador",3.3
530,530,530,"Fissidens subbasilaris","Fissidens subbasilaris Hedw.",,,,"|Musci|||Fissidentaceae|Fissidens|subbasilaris|",,"Musci",,,"Fissidentaceae","Fissidens","subbasilaris","","Espèce","Hedw.","Accepté","","2014-12-02",,,,,,"tree pocket moss","fissident obscur","Québec, Labrador",3.3
531,531,531,"Fissidens taxifolius","Fissidens taxifolius Hedw.",,,,"|Musci|||Fissidentaceae|Fissidens|taxifolius|",,"Musci",,,"Fissidentaceae","Fissidens","taxifolius","","Espèce","Hedw.","Accepté","","2014-12-02",,,,,,"yew-leaved pocket moss","fissident à feuilles d'if","Québec, Labrador",3.3
532,532,532,"Fontinalis antipyretica","Fontinalis antipyretica Hedw.",,,,"|Musci|||Fontinalaceae|Fontinalis|antipyretica|",,"Musci",,,"Fontinalaceae","Fontinalis","antipyretica","","Espèce","Hedw.","Accepté","","2014-12-02",,,,,,"greater water moss","fontinale commune","Québec, Labrador",3.3
533,533,533,"Fontinalis dalecarlica","Fontinalis dalecarlica Bruch & Schimp.",,,,"|Musci|||Fontinalaceae|Fontinalis|dalecarlica|",,"Musci",,,"Fontinalaceae","Fontinalis","dalecarlica","","Espèce","Bruch & Schimp.","Accepté","","2014-12-02",,,,,,"slender water moss","fontinale gracile","Québec, Labrador",3.3
534,534,534,"Fontinalis hypnoides","Fontinalis hypnoides Hartm.",,,,"|Musci|||Fontinalaceae|Fontinalis|hypnoides|",,"Musci",,,"Fontinalaceae","Fontinalis","hypnoides","","Espèce","Hartm.","Accepté","","2014-12-02",,,,,,"river moss","fontinale fausse-hypne","Québec, Labrador",3.3
535,535,535,"Fontinalis novae-angliae","Fontinalis novae-angliae Sull.",,,,"|Musci|||Fontinalaceae|Fontinalis|novae-angliae|",,"Musci",,,"Fontinalaceae","Fontinalis","novae-angliae","","Espèce","Sull.","Accepté","","2014-12-02",,,,,,"New England water moss","fontinale variable","Québec, Labrador",3.3
536,536,536,"Fontinalis sphagnifolia","Fontinalis sphagnifolia (Müll. Hal.) Wijk & Margad.",,,,"|Musci|||Fontinalaceae|Fontinalis|sphagnifolia|",,"Musci",,,"Fontinalaceae","Fontinalis","sphagnifolia","","Espèce","(Müll. Hal.) Wijk & Margad.","Accepté","","2014-12-02",,,,,,"sphagnum-like water moss","fontinale ambiguë","Québec, Labrador",3.3
537,537,537,"Fontinalis sullivantii","Fontinalis sullivantii Lindb.",,,,"|Musci|||Fontinalaceae|Fontinalis|sullivantii|",,"Musci",,,"Fontinalaceae","Fontinalis","sullivantii","","Espèce","Lindb.","Accepté","","2014-12-02",,,,,,"Sullivant's water moss","petite fontinale","Québec, Labrador",3.3
540,540,540,"Forsstroemia trichomitria","Forsstroemia trichomitria (Hedw.) Lindb.",,,,"|Musci|||Leptodontaceae|Forsstroemia|trichomitria|",,"Musci",,,"Leptodontaceae","Forsstroemia","trichomitria","","Espèce","(Hedw.) Lindb.","Accepté","","2014-12-02",,,,,,"fan moss","hyade à chapeau poilu","Québec, Labrador",3.3
