id	locationID	locality	establishmentMeans
256	992	Labrador	
260	993	Labrador	
264	994	Labrador	
265	995	Labrador	
267	996	Labrador	
270	997	Labrador	
276	998	Labrador	
278	999	Labrador	
279	1000	Labrador	
281	1001	Labrador	
282	1002	Labrador	
285	1003	Labrador	
286	1004	Labrador	
287	1005	Labrador	
288	1006	Labrador	
289	1007	Labrador	
297	1008	Labrador	
299	1009	Labrador	
300	1010	Labrador	
301	1011	Labrador	
302	1012	Labrador	
305	1013	Labrador	
307	1014	Labrador	
309	1015	Labrador	
310	1016	Labrador	
313	1017	Labrador	
314	1018	Labrador	
315	1019	Labrador	
318	1020	Labrador	
319	1021	Labrador	
320	1022	Labrador	
321	1023	Labrador	
323	1024	Labrador	
324	1025	Labrador	
327	1026	Labrador	
329	1027	Labrador	
330	1028	Labrador	
332	1029	Labrador	
334	1030	Labrador	
335	1031	Labrador	
338	1032	Labrador	
340	1033	Labrador	
341	1034	Labrador	
342	1035	Labrador	
343	1036	Labrador	
345	1037	Labrador	
349	1038	Labrador	
351	1039	Labrador	
352	1040	Labrador	
355	1041	Labrador	
356	1042	Labrador	
357	1043	Labrador	
358	1044	Labrador	
359	1045	Labrador	
362	1046	Labrador	
370	1047	Labrador	
373	1048	Labrador	
374	1049	Labrador	
377	1050	Labrador	
378	1051	Labrador	
379	1052	Labrador	
381	1053	Labrador	
383	1054	Labrador	
384	1055	Labrador	
389	1056	Labrador	
392	1057	Labrador	
393	1058	Labrador	
394	1059	Labrador	
395	1060	Labrador	
399	1061	Labrador	
402	1062	Labrador	
403	1063	Labrador	
405	1064	Labrador	
409	1065	Labrador	
411	1066	Labrador	
413	1067	Labrador	
415	1068	Labrador	
416	1069	Labrador	
417	1070	Labrador	
419	1071	Labrador	
421	1072	Labrador	
422	1073	Labrador	
423	1074	Labrador	
428	1075	Labrador	
430	1076	Labrador	
432	1077	Labrador	
433	1078	Labrador	
434	1079	Labrador	
436	1080	Labrador	
439	1081	Labrador	
440	1082	Labrador	
441	1083	Labrador	
443	1084	Labrador	
445	1085	Labrador	
447	1086	Labrador	
448	1087	Labrador	
450	1088	Labrador	
451	1089	Labrador	
