id	taxonID	acceptedNameUsageID	scientificName	acceptedNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	license	rightsHolder	accessRights	datasetName
521	521	521	Fissidens bryoides	Fissidens bryoides Hedw.				|Musci|||Fissidentaceae|Fissidens|bryoides|		Musci			Fissidentaceae	Fissidens	bryoides		Espèce	Hedw.	Accepté		2014-12-02					
522	522	522	Fissidens bushii	Fissidens bushii (Cardot & Thér.) Cardot & Thér.				|Musci|||Fissidentaceae|Fissidens|bushii|		Musci			Fissidentaceae	Fissidens	bushii		Espèce	(Cardot & Thér.) Cardot & Thér.	Accepté		2014-12-02					
523	523	523	Fissidens dubius	Fissidens dubius P. Beauv.				|Musci|||Fissidentaceae|Fissidens|dubius|		Musci			Fissidentaceae	Fissidens	dubius		Espèce	P. Beauv.	Accepté		2014-12-02					
525	525	525	Fissidens exilis	Fissidens exilis Hedw.				|Musci|||Fissidentaceae|Fissidens|exilis|		Musci			Fissidentaceae	Fissidens	exilis		Espèce	Hedw.	Accepté		2014-12-02					
526	526	526	Fissidens fontanus	Fissidens fontanus (Bach. Pyl.) Steud.				|Musci|||Fissidentaceae|Fissidens|fontanus|		Musci			Fissidentaceae	Fissidens	fontanus		Espèce	(Bach. Pyl.) Steud.	Accepté		2014-12-02					
527	527	527	Fissidens minutulus	Fissidens minutulus Sull.				|Musci|||Fissidentaceae|Fissidens|minutulus|		Musci			Fissidentaceae	Fissidens	minutulus		Espèce	Sull.	Accepté		2014-12-02					
528	528	528	Fissidens obtusifolius	Fissidens obtusifolius Wilson				|Musci|||Fissidentaceae|Fissidens|obtusifolius|		Musci			Fissidentaceae	Fissidens	obtusifolius		Espèce	Wilson	Accepté		2014-12-02					
529	529	529	Fissidens osmundoides	Fissidens osmundoides Hedw.				|Musci|||Fissidentaceae|Fissidens|osmundoides|		Musci			Fissidentaceae	Fissidens	osmundoides		Espèce	Hedw.	Accepté		2014-12-02					
530	530	530	Fissidens subbasilaris	Fissidens subbasilaris Hedw.				|Musci|||Fissidentaceae|Fissidens|subbasilaris|		Musci			Fissidentaceae	Fissidens	subbasilaris		Espèce	Hedw.	Accepté		2014-12-02					
531	531	531	Fissidens taxifolius	Fissidens taxifolius Hedw.				|Musci|||Fissidentaceae|Fissidens|taxifolius|		Musci			Fissidentaceae	Fissidens	taxifolius		Espèce	Hedw.	Accepté		2014-12-02					
532	532	532	Fontinalis antipyretica	Fontinalis antipyretica Hedw.				|Musci|||Fontinalaceae|Fontinalis|antipyretica|		Musci			Fontinalaceae	Fontinalis	antipyretica		Espèce	Hedw.	Accepté		2014-12-02					
533	533	533	Fontinalis dalecarlica	Fontinalis dalecarlica Bruch & Schimp.				|Musci|||Fontinalaceae|Fontinalis|dalecarlica|		Musci			Fontinalaceae	Fontinalis	dalecarlica		Espèce	Bruch & Schimp.	Accepté		2014-12-02					
534	534	534	Fontinalis hypnoides	Fontinalis hypnoides Hartm.				|Musci|||Fontinalaceae|Fontinalis|hypnoides|		Musci			Fontinalaceae	Fontinalis	hypnoides		Espèce	Hartm.	Accepté		2014-12-02					
535	535	535	Fontinalis novae-angliae	Fontinalis novae-angliae Sull.				|Musci|||Fontinalaceae|Fontinalis|novae-angliae|		Musci			Fontinalaceae	Fontinalis	novae-angliae		Espèce	Sull.	Accepté		2014-12-02					
536	536	536	Fontinalis sphagnifolia	Fontinalis sphagnifolia (Müll. Hal.) Wijk & Margad.				|Musci|||Fontinalaceae|Fontinalis|sphagnifolia|		Musci			Fontinalaceae	Fontinalis	sphagnifolia		Espèce	(Müll. Hal.) Wijk & Margad.	Accepté		2014-12-02					
537	537	537	Fontinalis sullivantii	Fontinalis sullivantii Lindb.				|Musci|||Fontinalaceae|Fontinalis|sullivantii|		Musci			Fontinalaceae	Fontinalis	sullivantii		Espèce	Lindb.	Accepté		2014-12-02					
540	540	540	Forsstroemia trichomitria	Forsstroemia trichomitria (Hedw.) Lindb.				|Musci|||Leptodontaceae|Forsstroemia|trichomitria|		Musci			Leptodontaceae	Forsstroemia	trichomitria		Espèce	(Hedw.) Lindb.	Accepté		2014-12-02					
541	541	541	Funaria hygrometrica	Funaria hygrometrica Hedw.				|Musci|||Funariaceae|Funaria|hygrometrica|		Musci			Funariaceae	Funaria	hygrometrica		Espèce	Hedw.	Accepté		2014-12-02					
542	542	542	Grimmia anodon	Grimmia anodon Bruch & Schimp.				|Musci|||Grimmiaceae|Grimmia|anodon|		Musci			Grimmiaceae	Grimmia	anodon		Espèce	Bruch & Schimp.	Accepté		2014-12-02					
543	543	543	Grimmia atrata	Grimmia atrata Miel. ex Hornsch.				|Musci|||Grimmiaceae|Grimmia|atrata|		Musci			Grimmiaceae	Grimmia	atrata		Espèce	Miel. ex Hornsch.	Accepté		2014-12-02					
544	544	544	Grimmia crinitoleucophaea	Grimmia crinitoleucophaea Cardot				|Musci|||Grimmiaceae|Grimmia|crinitoleucophaea|		Musci			Grimmiaceae	Grimmia	crinitoleucophaea		Espèce	Cardot	Accepté		2014-12-02					
545	545	545	Grimmia donniana	Grimmia donniana Sm.				|Musci|||Grimmiaceae|Grimmia|donniana|		Musci			Grimmiaceae	Grimmia	donniana		Espèce	Sm.	Accepté		2014-12-02					
546	546	546	Grimmia elatior	Grimmia elatior Bruch ex Bals.-Criv. & De Not.				|Musci|||Grimmiaceae|Grimmia|elatior|		Musci			Grimmiaceae	Grimmia	elatior		Espèce	Bruch ex Bals.-Criv. & De Not.	Accepté		2014-12-02					
547	547	547	Grimmia elongata	Grimmia elongata Kaulf.				|Musci|||Grimmiaceae|Grimmia|elongata|		Musci			Grimmiaceae	Grimmia	elongata		Espèce	Kaulf.	Accepté		2014-12-02					
548	548	548	Grimmia funalis	Grimmia funalis (Schwägr.) Bruch & Schimp.				|Musci|||Grimmiaceae|Grimmia|funalis|		Musci			Grimmiaceae	Grimmia	funalis		Espèce	(Schwägr.) Bruch & Schimp.	Accepté		2014-12-02					
549	549	549	Grimmia incurva	Grimmia incurva Schwägr.				|Musci|||Grimmiaceae|Grimmia|incurva|		Musci			Grimmiaceae	Grimmia	incurva		Espèce	Schwägr.	Accepté		2014-12-02					
551	551	551	Grimmia longirostris	Grimmia longirostris Hook.				|Musci|||Grimmiaceae|Grimmia|longirostris|		Musci			Grimmiaceae	Grimmia	longirostris		Espèce	Hook.	Accepté		2014-12-02					
552	552	552	Grimmia mollis	Grimmia mollis Bruch & Schimp.				|Musci|||Grimmiaceae|Grimmia|mollis|		Musci			Grimmiaceae	Grimmia	mollis		Espèce	Bruch & Schimp.	Accepté		2014-12-02					
553	553	553	Grimmia muehlenbeckii	Grimmia muehlenbeckii Schimp.				|Musci|||Grimmiaceae|Grimmia|muehlenbeckii|		Musci			Grimmiaceae	Grimmia	muehlenbeckii		Espèce	Schimp.	Accepté		2014-12-02					
554	554	554	Grimmia olneyi	Grimmia olneyi Sull.				|Musci|||Grimmiaceae|Grimmia|olneyi|		Musci			Grimmiaceae	Grimmia	olneyi		Espèce	Sull.	Accepté		2014-12-02					
555	555	555	Grimmia ovalis	Grimmia ovalis (Hedw.) Lindb.				|Musci|||Grimmiaceae|Grimmia|ovalis|		Musci			Grimmiaceae	Grimmia	ovalis		Espèce	(Hedw.) Lindb.	Accepté		2014-12-02					
556	556	556	Grimmia pilifera	Grimmia pilifera P. Beauv.				|Musci|||Grimmiaceae|Grimmia|pilifera|		Musci			Grimmiaceae	Grimmia	pilifera		Espèce	P. Beauv.	Accepté		2014-12-02					
557	557	557	Grimmia sessitana	Grimmia sessitana De Not.				|Musci|||Grimmiaceae|Grimmia|sessitana|		Musci			Grimmiaceae	Grimmia	sessitana		Espèce	De Not.	Accepté		2014-12-02					
